later	623	"英[ˈleɪtə(r)]
美[ˈleɪtər]
后来;以后;其后;随后;再见;后来的;以后的;接近末期的;晚年的;late的比较级"
comes	623	"英[kʌmz]
美[kʌmz]
来;来到;到达，抵达;来做;来取;来拿;come的第三人称单数"
period	623	"英[ˈpɪəriəd]
美[ˈpɪriəd]
一段时间;时期;阶段，时代;纪;某一时代的;具有某个时代特征的"
costs	623	"英[kɒsts]
美[kɔːsts]
费用;花费;价钱;成本;努力，代价，损失;需付费;价钱为;使丧失;使损失;使付出努力;使做不愉快的事;cost的第三人称单数和复数"
political	622	"英[pəˈlɪtɪkl]
美[pəˈlɪtɪkl]
政治的;政府的;政权的;政党的;党派的;关心政治的;政治上活跃的"
media	622	"英[ˈmiːdiə]
美[ˈmiːdiə]
大众传播媒介，大众传播工具;medium的复数"
news	618	"英[njuːz]
美[nuːz]
消息;音信;媒体对重要事情的报道;新闻;新闻报道"
air	618	"英[eə(r)]
美[er]
空气;空中;天空;晾;晾干;通风，透风;公开发表"
community	618	"英[kəˈmjuːnəti]
美[kəˈmjuːnəti]
社区;社会;团体;社团;界;共享;共有"
report	617	"英[rɪˈpɔːt]
美[rɪˈpɔːrt]
汇报;报告;通报;报道;公布;发表;宣布;据说，传闻;记述;调查报告"
changed	612	"英[tʃeɪndʒd]
美[tʃeɪndʒd]
与以前截然不同的;变化大的;已变的;改变;变化;使不同;变换，改换，变成;change的过去分词和过去式"
run	612	"英[rʌn]
美[rʌn]
跑;奔跑;跑步;做跑步运动;跑步的时间;旅程，航程;一段时光;一系列"
whole	612	"英[həʊl]
美[hoʊl]
全部的;整体的;完全的;所有的;整个的;完整的;完好无损的;整个;整体;全部;全体;所有"
million	612	"英[ˈmɪljən]
美[ˈmɪljən]
一百万;大量"
else	607	"英[els]
美[els]
其他的;别的;另外的;不同的"
describe	607	"英[dɪˈskraɪb]
美[dɪˈskraɪb]
描述;形容;把…称为;做…运动;画出…图形;形成…形状"
tend	607	"英[tend]
美[tend]
往往会;常常就;趋向;走向;倾向;趋于;照料;照管;护理"
factors	607	"英[ˈfæktəz]
美[ˈfæktərz]
因素;要素;因子;因数;数量，倍数;把…因素包括进去;分解…的因子，将…分解成因子;以代理商的身份行事;做代理商;factor的第三人称单数和复数"
quality	606	"英[ˈkwɒləti]
美[ˈkwɑːləti]
质量;品质;上乘;优质;高标准;人品，素质，品德;优质的;高质量的;盖帽儿了;棒极了"
name	601	"英[neɪm]
美[neɪm]
名字;名称;名誉;名声;名气;有…名称的;以…著名的;有…名声的;命名;给…取名;说出…的名称;叫出…的名字;确定;说定;准确陈述"
products	601	"英[ˈprɒdʌkts]
美[ˈprɑdəkts]
产品;制品;产物，生成物;产儿;产物;结果;product的复数"
create	596	"英[kriˈeɪt]
美[kriˈeɪt]
创造;创作;创建;造成，引起，产生;授予;册封"
takes	596	"英[teɪks]
美[teɪks]
携带;拿走;取走;运走;带去;引领;使达到，把…推向，把…带到;take的第三人称单数"
bad	590	"英[bæd]
美[bæd]
令人不快的;问题成堆的;坏的;质量差的;不合格的;拙于;不擅;不善于;坏人;坏事;很;非常"
schools	590	"英[skuːlz]
美[skuːlz]
学校;上学;上学阶段;上课时间;训练;使学会;教育;培养;school的第三人称单数和复数"
higher	590	"英[ˈhaɪə(r)]
美[ˈhaɪər]
高等级的;级别较高的;较重要的;在高处;向高处;高;大;音调高;high的比较级"
areas	590	"英[ˈeərɪəz]
美[ˈɛriəz]
地区，地域;地方，场地，区;区，部位;area的复数"
deal	590	"英[diːl]
美[diːl]
发牌;非法买卖毒品;贩毒;大量;很多;协议;交易;待遇"
intended	590	"英[ɪnˈtendɪd]
美[ɪnˈtendɪd]
意欲达到的;打算的;计划的;为…打算的;打算;计划;想要;意指;intend的过去分词和过去式"
offer	590	"英[ˈɒfə(r)]
美[ˈɔːfər]
主动提出;自愿给予;提供;供应;奉献，祭献;主动提议;建议;出价;报价;减价，削价;处理价;特价"
went	585	"英[went]
美[went]
去;走;移动，旅行，行走;go的过去式"
increasing	585	"英[ɪnˈkriːsɪŋ]
美[ɪnˈkriːsɪŋ]
增长，增多;增加;increase的现在分词"
competition	585	"英[ˌkɒmpəˈtɪʃn]
美[ˌkɑːmpəˈtɪʃn]
竞争;角逐;比赛;竞赛;竞争者;对手"
families	585	"英[ˈfæməliz]
美[ˈfæməliz]
家，家庭;家庭;亲属;家族;family的复数"
prices	584	"英[ˈpraɪsɪz]
美[ˈpraɪsɪz]
价格;价钱;物价;代价;投注赔率;给…定价;为…作价;标价，贴价格标签;比较…的价格;price的第三人称单数和复数"
economy	579	"英[ɪˈkɒnəmi]
美[ɪˈkɑːnəmi]
经济;经济情况;经济结构;国家;经济制度;节约;节省;节俭"
legal	579	"英[ˈliːɡl]
美[ˈliːɡl]
与法律有关的;法律的;法律允许的;合法的;法律要求的"
house	579	"英[haʊs , haʊz]
美[haʊs , haʊz]
房屋;房子;住宅;住在一所房子里的人;全家人;某种用途的建筑物;给提供住处;是的贮藏处;收藏;安置"
status	579	"英[ˈsteɪtəs]
美[ˈsteɪtəs]
状态;地位;身份;职位;高级职位;社会上层地位"
mean	579	"英[miːn]
美[miːn]
表示…的意思;意思是;本意是;打算;意欲;有…的目的;吝啬的;小气的;不善良;刻薄;要发怒的;要发狂的;中间;中庸;折中;平均数;平均值;算术中项"
limited	574	"英[ˈlɪmɪtɪd]
美[ˈlɪmɪtɪd]
有限的;受限制;限制;限定;限量;减量;limit的过去式"
services	574	"英[ˈsɜːvɪsɪz]
美[ˈsɜːrvɪsɪz]
公共服务系统;公共事业;公共事业机构;服务性企业;检修;维护;维修;保养;提供服务;支付利息;service的第三人称单数和复数"
office	574	"英[ˈɒfɪs]
美[ˈɑːfɪs]
办公室;办公楼;办事处;问询处，服务处"
further	574	"英[ˈfɜːðə(r)]
美[ˈfɜːrðər]
较远，更远;较远，更久远;进一步;在更大程度上;在更大范围内;更多的;更进一步的;附加的;促进;增进;far的比较级"
compared	574	"英[kəmˈpeəd]
美[kəmˈperd]
比较的，对照的"
took	574	"英[tʊk]
美[tʊk]
携带;拿走;取走;运走;带去;引领;使达到，把…推向，把…带到;take的过去式"
everyone	574	"英[ˈevriwʌn]
美[ˈevriwʌn]
每人;人人;所有人"
begin	569	"英[bɪˈɡɪn]
美[bɪˈɡɪn]
开始;启动;起始;开始存在;起初是;本来是"
required	569	"英[rɪˈkwaɪəd]
美[rɪˈkwaɪərd]
需要;依靠;依赖;使做;使拥有;规定;require的过去分词和过去式"
physical	568	"英[ˈfɪzɪkl]
美[ˈfɪzɪkl]
身体的;肉体的;躯体的;客观存在的;现实的;物质的;有形的;根据自然规律的;符合自然法则的;体检;体格检查"
becoming	563	"英[bɪˈkʌmɪŋ]
美[bɪˈkʌmɪŋ]
相配的;合身的;合适的;与…相称的;开始变得;变成;适合;与…相称;使显得漂亮;使好看;become的现在分词"
average	563	"英[ˈævərɪdʒ]
美[ˈævərɪdʒ]
平均的;典型的;正常的;普通的;平常的;一般的;平均数;平均水平;一般水准;平均为;计算出…的平均数"
drawing	563	"英[ˈdrɔːɪŋ]
美[ˈdrɔːɪŋ]
图画;素描画;绘画;制图;画，描绘，描画;拖;拉;牵引;拉，拖;吸引，使感兴趣;draw的现在分词"
simply	563	"英[ˈsɪmpli]
美[ˈsɪmpli]
仅仅，只，不过;确实，简直;简单地"
carry	563	"英[ˈkæri]
美[ˈkæri]
拿;提;搬;扛;背;抱;运送;携带;佩戴;输送，传输，传送"
workers	562	"英[ˈwɜːkəz]
美[ˈwɜrkərz]
工作者;人员;雇员;劳工，工人;干活…的人;worker的复数"
percent	562	"英[pəˈsɛnt]
美[pərˈsɛnt]
百分之…"
expect	558	"英[ɪkˈspekt]
美[ɪkˈspekt]
预料;预期;预计;等待;期待;盼望;要求;指望"
training	557	"英[ˈtreɪnɪŋ]
美[ˈtreɪnɪŋ]
训练;培训;训练，锻炼;接受训练;进行…训练;进行体育锻炼;教育;培养…的能力;train的现在分词"
consumers	557	"英[kənˈsjuːməz]
美[kənˈsumərz]
消费者;顾客;用户;consumer的复数"
upon	557	"英[əˈpɒn]
美[əˈpɑːn]
强调数目或数量大;在…上"
learning	552	"英[ˈlɜːnɪŋ]
美[ˈlɜːrnɪŋ]
学习;知识;学问;学识;学;学到;学会;听到;得知;获悉;记住;背熟;熟记;learn的现在分词"
decide	552	"英[dɪˈsaɪd]
美[dɪˈsaɪd]
对…作出抉择;决定;选定;裁决;判决;影响…的结果"
price	552	"英[praɪs]
美[praɪs]
价格;价钱;物价;代价;投注赔率;给…定价;为…作价;标价，贴价格标签;比较…的价格"
shows	552	"英[ʃəʊz]
美[ʃoʊz]
表明;证明;给…看;出示;展示;教，解说;演示;show的第三人称单数"
late	552	"英[leɪt]
美[leɪt]
接近末期;在晚年;迟到;迟发生;迟做;近日暮的;近深夜的;迟;晚;临近日暮;接近午夜"
brought	552	"英[brɔːt]
美[brɔːt]
带…到某处;带来;取来;提供;供给;导致;引起;bring的过去分词和过去式"
similar	552	"英[ˈsɪmələ(r)]
美[ˈsɪmələr]
相像的;相仿的;类似的;类似物;相像的人;相似物"
understanding	552	"英[ˌʌndəˈstændɪŋ]
美[ˌʌndərˈstændɪŋ]
理解;领悟;了解;协议;谅解;体谅;善解人意的;富有同情心的;体谅人的;懂;领会;认识到;明了;understand的现在分词"
increasingly	552	"英[ɪnˈkriːsɪŋli]
美[ɪnˈkriːsɪŋli]
越来越多地;不断增加地"
lead	552	"英[liːd , led]
美[liːd , led]
带路;领路;引领;相连，相通;通向;通往;领先地位;超前量;领先的距离;实例;范例;榜样;铅;铅笔芯"
developed	552	"英[dɪˈveləpt]
美[dɪˈveləpt]
发达的;高度发展的;先进的;成熟的;成长，发展，壮大;开发;研制;患;出现;开始侵袭;开始影响;develop的过去分词和过去式"
data	551	"英[ˈdeɪtə]
美[ˈdeɪtə]
数据;资料;材料;数据资料;datum的复数"
water	551	"英[ˈwɔːtə(r)]
美[ˈwɔːtər]
水;大片的水;水域;江，河，湖，海;给…浇水;灌溉;充满眼泪;流口水"
major	547	"英[ˈmeɪdʒə(r)]
美[ˈmeɪdʒər]
主要的;重要的;大的;严重;大调的;少校;主修课程;专业课;主修学生;主修生;主修，专攻"
return	547	"英[rɪˈtɜːn]
美[rɪˈtɜːrn]
回来;回去;返回;带回;送回;放回;退还;恢复;重现;归来;归还;退回"
quite	547	"英[kwaɪt]
美[kwaɪt]
颇;相当;某种程度上;完全;十分;非常;彻底;在很大程度上;很;的确"
issue	547	"英[ˈɪʃuː]
美[ˈɪʃuː]
重要议题;争论的问题;问题，担忧;一期;期号;宣布;公布;发出;发给，供给;将…诉诸法律"
full	547	"英[fʊl]
美[fʊl]
满的;充满的;满是…的;大量的;许多的;丰富的;想得很多，谈得很多;直接地;径直地"
alone	546	"英[əˈləʊn]
美[əˈloʊn]
独自;独力;单独;孤苦伶仃;无依无靠;孤独;寂寞"
produce	546	"英[prəˈdjuːs , ˈprɒdjuːs]
美[prəˈduːs , ˈprɑːduːs]
生产;制造;生长;出产;繁育;制作，造出;产品;农产品"
cities	546	"英[ˈsɪtiz]
美[ˈsɪtiz]
都市;城市;特许市;特权市;city的复数"
intelligence	546	"英[ɪnˈtelɪdʒəns]
美[ɪnˈtelɪdʒəns]
智力;才智;智慧;情报;情报人员"
using	541	"英[ˈjuːzɪŋ]
美[ˈjuːzɪŋ]
使用;利用;运用;消耗;说，写，使用;use的现在分词"
efforts	541	"英[ˈɛfəts]
美[ˈɛfərts]
气力;努力;费力的事;艰难的尝试;试图;尽力;有组织的活动;effort的复数"
industrial	541	"英[ɪnˈdʌstriəl]
美[ɪnˈdʌstriəl]
工业的;产业的;用于工业的;有很多产业的;工业发达的"
actually	541	"英[ˈæktʃuəli]
美[ˈæktʃuəli]
的确，真实地，事实上;居然，竟然;实际上"
appropriate	541	"英[əˈprəʊpriət , əˈprəʊprieɪt]
美[əˈproʊpriət , əˈproʊprieɪt]
合适的;恰当的;盗用;挪用;占用;侵吞;拨"
responsible	541	"英[rɪˈspɒnsəbl]
美[rɪˈspɑːnsəbl]
有责任;负责;承担义务;应受责备;作为原因;成为起因"
accept	536	"英[əkˈsept]
美[əkˈsept]
收受;接受;同意;认可"
sign	536	"英[saɪn]
美[saɪn]
迹象;征兆;预兆;招牌;标牌;指示牌;标志;示意的动作;手势;签;署;签字;签署;和…签约;示意;打手势"
amount	536	"英[əˈmaʊnt]
美[əˈmaʊnt]
金额;数量;数额;合计，共计;等同，接近"
move	535	"英[muːv]
美[muːv]
改变位置，移动;变化;改变;转变;前进;进步;进展;行动;移动;活动;动摇"
mental	535	"英[ˈmentl]
美[ˈmentl]
思想的;精神的;思考的;智力的;精神病治疗的;精神健康的;疯狂;发疯"
rights	535	"英[raɪts]
美[raɪts]
正当;公正;正义;正确;正当的要求;权利;版权;发行权;使回到正常位置;把…扶正;使…直立;改正;纠正;使恢复正常;right的第三人称单数和复数"
